instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_50_concentrado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,161.000000,1800.154,1800.043,1,1,42
inst_50_concentrado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,152.000000,1800.018,1800.000,1,1,42
inst_50_concentrado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,154.000000,1800.020,1800.004,1,1,42
inst_50_concentrado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,155.000000,1800.034,1800.010,1,1,42
inst_50_concentrado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,158.000000,1800.039,1800.011,1,1,42
