instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_400_balanceado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,1042.000000,1806.485,1806.225,1,1,42
inst_400_balanceado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,1047.000000,1800.135,1800.017,1,1,42
inst_400_balanceado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,1028.000000,1805.616,1805.580,1,1,42
inst_400_balanceado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,1045.000000,1801.992,1801.837,1,1,42
inst_400_balanceado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,1049.000000,1800.142,1800.095,1,1,42
