instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_100_balanceado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,253.000000,1800.231,1800.113,1,1,42
inst_100_balanceado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,243.000000,1800.032,1800.001,1,1,42
inst_100_balanceado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,238.000000,1800.079,1800.062,1,1,42
inst_100_balanceado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,252.000000,1800.063,1800.052,1,1,42
inst_100_balanceado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,246.000000,1800.056,1800.035,1,1,42
