instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_25_aleatorio.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,63.000000,1800.090,1800.011,1,1,42
inst_25_aleatorio.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,68.000000,1800.011,1800.008,1,1,42
inst_25_aleatorio.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,53.000000,1800.007,1800.000,1,1,42
inst_25_aleatorio.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,61.000000,1800.014,1800.000,1,1,42
inst_25_aleatorio.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,61.000000,1800.025,1800.000,1,1,42
