instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_200_aleatorio.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,556.000000,1800.735,1800.577,1,1,42
inst_200_aleatorio.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,549.000000,1800.066,1800.011,1,1,42
inst_200_aleatorio.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,526.000000,1800.680,1800.660,1,1,42
inst_200_aleatorio.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,557.000000,1800.242,1800.217,1,1,42
inst_200_aleatorio.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,557.000000,1800.604,1800.583,1,1,42
