instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_50_balanceado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,154.000000,1800.168,1800.050,1,1,42
inst_50_balanceado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,151.000000,1800.021,1800.001,1,1,42
inst_50_balanceado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,144.000000,1800.026,1800.008,1,1,42
inst_50_balanceado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,154.000000,1800.030,1800.017,1,1,42
inst_50_balanceado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,145.000000,1800.037,1800.006,1,1,42
