instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_50_aleatorio.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,137.000000,120.027,120.010,1,1,42
inst_50_aleatorio.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,134.000000,120.002,120.000,1,1,42
inst_50_aleatorio.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,119.000000,120.003,120.001,1,1,42
inst_50_aleatorio.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,130.000000,120.002,120.001,1,1,42
inst_50_aleatorio.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,137.000000,120.005,120.001,1,1,42
