instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_400_concentrado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,1159.000000,1808.169,1807.865,1,1,42
inst_400_concentrado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,1155.000000,1800.214,1800.031,1,1,42
inst_400_concentrado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,1151.000000,1817.649,1817.512,1,1,42
inst_400_concentrado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,1149.000000,1802.528,1802.463,1,1,42
inst_400_concentrado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,1159.000000,1805.625,1805.581,1,1,42
