instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_200_concentrado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,536.000000,1800.745,1800.582,1,1,42
inst_200_concentrado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,530.000000,1800.066,1800.001,1,1,42
inst_200_concentrado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,527.000000,1800.709,1800.687,1,1,42
inst_200_concentrado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,538.000000,1800.278,1800.262,1,1,42
inst_200_concentrado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,530.000000,1800.501,1800.475,1,1,42
