instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_100_concentrado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,323.000000,1800.309,1800.166,1,1,42
inst_100_concentrado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,322.000000,1800.141,1800.001,1,1,42
inst_100_concentrado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,320.000000,1800.093,1800.067,1,1,42
inst_100_concentrado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,323.000000,1800.088,1800.067,1,1,42
inst_100_concentrado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,323.000000,1800.069,1800.047,1,1,42
