instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_25_balanceado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,67.000000,1800.147,1800.012,1,1,42
inst_25_balanceado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,67.000000,1800.011,1800.001,1,1,42
inst_25_balanceado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,77.000000,1800.008,1800.001,1,1,42
inst_25_balanceado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,77.000000,1800.012,1800.010,1,1,42
inst_25_balanceado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,67.000000,1800.029,1800.000,1,1,42
