instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_25_concentrado.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,30.000000,1800.035,0.063,11372956,3,42
inst_25_concentrado.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,30.000000,1800.413,0.001,1443,2,42
inst_25_concentrado.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,30.000000,1800.007,0.000,10057949,1,42
inst_25_concentrado.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,30.000000,1800.005,0.008,10478229,2,42
inst_25_concentrado.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,30.000000,1800.053,0.000,140,1,42
