instance,config,alpha,mode,ls,best_f,time_s,time_to_best_s,iters,best_iter,seed
inst_50_aleatorio.dat,STD_a0.20_FIRST,0.20,STANDARD,FIRST_IMPROVING,134.000000,1800.162,1800.047,1,1,42
inst_50_aleatorio.dat,STD_a0.60_FIRST,0.60,STANDARD,FIRST_IMPROVING,136.000000,1800.018,1800.000,1,1,42
inst_50_aleatorio.dat,STD_a0.20_BEST,0.20,STANDARD,BEST_IMPROVING,110.000000,1800.015,1800.007,1,1,42
inst_50_aleatorio.dat,SAMPLED_p64_FIRST,0.20,SAMPLED,FIRST_IMPROVING,134.000000,1800.017,1800.005,1,1,42
inst_50_aleatorio.dat,REACTIVE_FIRST,0.20,REACTIVE,FIRST_IMPROVING,136.000000,1800.026,1800.000,1,1,42
